Config,EmbedModel,MLModel,Train_RMSE,Train_MAE,Train_R2,Test_RMSE,Test_MAE,Test_R2
S,Turkish-E5-Large,Ridge,1.0344,0.822,0.1587,1.1795,0.9363,-0.0694
S,Turkish-E5-Large,RandomForest,0.4151,0.3226,0.8645,1.1072,0.8565,0.0577
S,Turkish-E5-Large,SVR,0.779,0.4842,0.5228,1.1635,0.8821,-0.0406
S,Jina-v5-Small,Ridge,1.0381,0.8238,0.1527,1.1641,0.927,-0.0417
S,Jina-v5-Small,RandomForest,0.4134,0.3221,0.8656,1.1078,0.8583,0.0566
S,Jina-v5-Small,SVR,0.8012,0.5067,0.4953,1.1689,0.8886,-0.0504
S,Harrier-0.6B,Ridge,1.0398,0.8257,0.15,1.1587,0.9185,-0.032
S,Harrier-0.6B,RandomForest,0.4139,0.3214,0.8653,1.1086,0.8521,0.0553
S,Harrier-0.6B,SVR,0.7555,0.4602,0.5513,1.1561,0.8833,-0.0275
S,Qwen3-Embed-0.6B,Ridge,1.0425,0.8284,0.1454,1.1626,0.926,-0.0391
S,Qwen3-Embed-0.6B,RandomForest,0.4148,0.3221,0.8647,1.1076,0.8532,0.0569
S,Qwen3-Embed-0.6B,SVR,0.7795,0.4847,0.5223,1.1654,0.8893,-0.0441
D,Turkish-E5-Large,Ridge,1.0339,0.8231,0.1594,1.1341,0.8849,0.0113
D,Turkish-E5-Large,RandomForest,0.429,0.3274,0.8553,1.1134,0.861,0.047
D,Turkish-E5-Large,SVR,0.7925,0.497,0.5062,1.1344,0.857,0.0107
D,Jina-v5-Small,Ridge,1.0278,0.8164,0.1694,1.1554,0.9138,-0.0262
D,Jina-v5-Small,RandomForest,0.428,0.3273,0.856,1.1044,0.8557,0.0624
D,Jina-v5-Small,SVR,0.814,0.5238,0.479,1.1458,0.878,-0.0092
D,Harrier-0.6B,Ridge,1.0273,0.8174,0.1702,1.1475,0.9184,-0.0122
D,Harrier-0.6B,RandomForest,0.4264,0.3254,0.8571,1.1055,0.8559,0.0605
D,Harrier-0.6B,SVR,0.7741,0.4838,0.5289,1.1271,0.8616,0.0235
D,Qwen3-Embed-0.6B,Ridge,1.0286,0.8171,0.1681,1.1402,0.9046,0.0006
D,Qwen3-Embed-0.6B,RandomForest,0.4284,0.3267,0.8557,1.1041,0.8526,0.0629
D,Qwen3-Embed-0.6B,SVR,0.7753,0.4827,0.5273,1.1357,0.8705,0.0084
S+D,Turkish-E5-Large,Ridge,1.0331,0.8237,0.1609,1.1516,0.9044,-0.0194
S+D,Turkish-E5-Large,RandomForest,0.4095,0.3189,0.8681,1.1156,0.8611,0.0432
S+D,Turkish-E5-Large,SVR,0.7605,0.4715,0.5452,1.1392,0.8687,0.0024
S+D,Jina-v5-Small,Ridge,1.0263,0.8152,0.1718,1.1631,0.9273,-0.0399
S+D,Jina-v5-Small,RandomForest,0.4086,0.318,0.8687,1.1061,0.8586,0.0596
S+D,Jina-v5-Small,SVR,0.7985,0.5134,0.4987,1.1446,0.8844,-0.0071
S+D,Harrier-0.6B,Ridge,1.0235,0.8138,0.1763,1.147,0.9216,-0.0114
S+D,Harrier-0.6B,RandomForest,0.4058,0.316,0.8705,1.101,0.8476,0.0682
S+D,Harrier-0.6B,SVR,0.7388,0.4537,0.5708,1.1264,0.8662,0.0248
S+D,Qwen3-Embed-0.6B,Ridge,1.0268,0.8164,0.171,1.1393,0.9129,0.0022
S+D,Qwen3-Embed-0.6B,RandomForest,0.4081,0.3172,0.869,1.1095,0.8559,0.0537
S+D,Qwen3-Embed-0.6B,SVR,0.7536,0.4656,0.5535,1.1392,0.8838,0.0023
D+C,Turkish-E5-Large,Ridge,1.0258,0.8194,0.1726,1.122,0.8851,0.0323
D+C,Turkish-E5-Large,RandomForest,0.4076,0.3169,0.8694,1.1044,0.8507,0.0624
D+C,Turkish-E5-Large,SVR,0.7563,0.4726,0.5503,1.1251,0.854,0.0269
D+C,Jina-v5-Small,Ridge,1.0263,0.8158,0.1718,1.1363,0.9005,0.0075
D+C,Jina-v5-Small,RandomForest,0.4085,0.3184,0.8688,1.0976,0.8515,0.074
D+C,Jina-v5-Small,SVR,0.8036,0.5194,0.4922,1.137,0.8732,0.0063
D+C,Harrier-0.6B,Ridge,1.0184,0.8131,0.1846,1.1362,0.9062,0.0076
D+C,Harrier-0.6B,RandomForest,0.4064,0.3159,0.8702,1.0919,0.8399,0.0835
D+C,Harrier-0.6B,SVR,0.7378,0.458,0.572,1.1115,0.8519,0.0503
D+C,Qwen3-Embed-0.6B,Ridge,1.0234,0.816,0.1765,1.1371,0.9087,0.006
D+C,Qwen3-Embed-0.6B,RandomForest,0.4071,0.3162,0.8697,1.1,0.8488,0.0699
D+C,Qwen3-Embed-0.6B,SVR,0.7575,0.4729,0.5489,1.1298,0.8691,0.0188
S+C,Turkish-E5-Large,Ridge,1.0111,0.8057,0.1963,1.1157,0.8832,0.0432
S+C,Turkish-E5-Large,RandomForest,0.4032,0.3139,0.8722,1.0718,0.8265,0.1169
S+C,Turkish-E5-Large,SVR,0.7367,0.4602,0.5732,1.1009,0.8483,0.0683
S+C,Jina-v5-Small,Ridge,1.0157,0.8089,0.1888,1.1461,0.9054,-0.0098
S+C,Jina-v5-Small,RandomForest,0.4085,0.3188,0.8688,1.0927,0.8442,0.0822
S+C,Jina-v5-Small,SVR,0.7902,0.5141,0.509,1.1398,0.871,0.0013
S+C,Harrier-0.6B,Ridge,1.0,0.7982,0.2137,1.0985,0.8736,0.0724
